"tT"	"nT"	"rhoT"
166.6	0.340214902821761	-0.0426284982695726
166.7	0.340962357535064	-0.0423598348663072
166.8	0.355347639013906	-0.0339872288581778
166.9	0.357957286996892	0.00418901814386473
167	0.350305541403042	0.00736272889711564
167.1	0.351239859812499	-0.0116617267407364
167.2	0.362593439462408	-0.0052722571894721
167.3	0.359271776367229	0.020844798167081
167.4	0.350524622962766	0.00910086195952059
167.5	0.344596533839029	-0.0147590788503792
167.6	0.34729961359023	-0.0284659720962448
167.7	0.348604437555719	-0.0201070991114949
167.8	0.352038863120238	-0.0150640726872902
167.9	0.352518909479649	-0.00599160793241697
168	0.356790999865984	-0.00339754768718396
168.1	0.352386816181432	0.00541663604218144
168.2	0.344880051155105	-0.00829817787448877
168.3	0.345901357803498	-0.0268041393551103
168.4	0.352170956411343	-0.021165677364698
168.5	0.351004669302314	-0.00523059427083986
168.6	0.352013088824556	-0.00786451856276024
168.7	0.359104243400255	-0.0029250722807708
168.8	0.360115884729021	0.0144109367627873
168.9	0.35781875013038	0.0152587968125636
169	0.353082722304641	0.00748319197828544
169.1	0.353095609458924	-0.00439569933863976
169.2	0.359684165180972	-0.00203590504941739
169.3	0.356397941787185	0.01275375932934
169.4	0.344644860658073	0.000383460766384032
169.5	0.34323049592787	-0.0296465644856265
169.6	0.348079286186486	-0.0305441144010892
169.7	0.356704011604145	-0.0141022808292615
169.8	0.358579092012585	0.00808419668190998
169.9	0.353388792131078	0.0102922233142276
170	0.351568482130393	-0.00345597970857178
170.1	0.35059550228146	-0.00826781988650376
170.2	0.348759083356799	-0.0111163399271356
170.3	0.347753885635855	-0.0157803206683968
170.4	0.349477541986503	-0.0172871186183545
170.5	0.347914975014924	-0.012998016491623
170.6	0.345927132094105	-0.0173442395840116
170.7	0.352928076500844	-0.0195710575928418
170.8	0.349802942536582	-0.00259561387315084
170.9	0.350717930211992	-0.0102234881681663
171	0.355383078665316	-0.0062165200139529
171.1	0.356407607137816	0.00554905539519219
171.2	0.364909904824227	0.010405628786316
171.3	0.360251199812789	0.0282173429888468
171.4	0.35808938029104	0.0154399370911786
171.5	0.353143936268628	0.00803593853049351
171.6	0.35444231667898	-0.00383262219527792
171.7	0.359784040600898	0.00130939194727141
171.8	0.359771153450277	0.0140629759253593
171.9	0.354548635673369	0.011738212049195
172	0.348127612996556	-0.00342839180919534
172.1	0.348807410173963	-0.0190331038093618
172.2	0.352467360871125	-0.0153121967345451
172.3	0.359133239500099	-0.00339657546597727
172.4	0.36021253836078	0.0130994763484159
172.5	0.358382562963598	0.0144348376192021
172.6	0.357522345660231	0.00919388367385448
172.7	0.355157553531743	0.00598949986970193
172.8	0.350112234143013	-0.00163399762207366
172.9	0.352776652492977	-0.0131246884511207
173	0.361987743378876	-0.00287327979912222
173.1	0.363044489740094	0.0196192718164209
173.2	0.355927560778216	0.0189343430730151
173.3	0.357915403753419	0.00194952221664693
173.4	0.357187279745251	0.00649455861239643
173.5	0.352625228466272	0.00302558389262159
173.6	0.3530633915814	-0.00803806693495509
173.7	0.359281441725527	-0.00449671077181249
173.8	0.365222418232214	0.0126970868999216
173.9	0.358627418853703	0.023912555239205
174	0.3447060746246	0.00290849840221566
174.1	0.343375476366228	-0.0323796485537859
174.2	0.347798990661978	-0.0329746971774689
174.3	0.350054241965601	-0.0195626540643551
174.4	0.355064121692135	-0.0115521084823165
174.5	0.353224480961237	0.000459682011186785
174.6	0.351678022908791	-0.00476838828217134
174.7	0.352928076515728	-0.00813692971066038
174.8	0.361614016003493	-0.00194573892220803
174.9	0.352315936864143	0.015743175715699
175	0.3500316894503	-0.00820297825199441
175.1	0.35799917025109	-0.010935241891748
175.2	0.365792674658013	0.0114762343099679
175.3	0.361217736124841	0.0276222745446905
175.4	0.355215545709457	0.0138915156926945
175.5	0.360106219368212	0.000636160972721131
175.6	0.361433595890027	0.0128524248996076
175.7	0.364304208731572	0.0164726978667165
175.8	0.359674499827258	0.0210802980276149
175.9	0.35782519370245	0.00888136710351621
176	0.356378611060082	0.0037785719871107
176.1	0.344979926561148	-0.00352649700986063
176.2	0.34533110139774	-0.0318311163859992
176.3	0.344486993062543	-0.0298874517897817
176.4	0.348295145949207	-0.02963888957694
176.5	0.353285694924179	-0.0171429464523727
176.6	0.348781635870167	-0.00574104885443812
176.7	0.35341456643006	-0.0153956497621402
176.8	0.351027221816315	-0.00426221441585444
176.9	0.349848047557857	-0.0106181160424419
177	0.352741212819264	-0.0123611214540069
177.1	0.353749632339572	-0.00454276544759986
177.2	0.353788293793076	-0.00207890421813965
177.3	0.349880265433515	-0.00340487051277829
177.4	0.352399703333423	-0.0122813692265551
177.5	0.357628664655104	-0.00392610118095806
177.6	0.359661612666898	0.00943047907296514
177.7	0.356024214411443	0.0125365983903031
